"sexo","idade","pop2010","nSx","pop2015fechada","TLM","pop2015aberta","TEF","B.total","B.sexo.sobrev","pop2015"
"fem",0,362032,0.997574726698963,NA,0,NA,NA,722595,348185,348185
"fem",5,386337,0.998484598173767,361154,0,361154,NA,NA,NA,361154
"fem",10,417573,0.997738767372885,385752,0,385752,NA,NA,NA,385752
"fem",15,411631,0.996744798331044,416629,0,416629,0.0717,NA,NA,416629
"fem",20,420394,0.995859170724994,410291,0,410291,0.1037,NA,NA,410291
"fem",25,406098,0.994713752699327,418653,0,418653,0.0868,NA,NA,418653
"fem",30,377415,0.992798789085179,403951,0,403951,0.0578,NA,NA,403951
"fem",35,338205,0.989507254488761,374697,0,374697,0.0292,NA,NA,374697
"fem",40,310061,0.984347264464955,334656,0,334656,0.0085,NA,NA,334656
"fem",45,271967,0.976282627201324,305208,0,305208,8e-04,NA,NA,305208
"fem",50,228736,0.965240958827689,265517,0,265517,NA,NA,NA,265517
"fem",55,192598,0.948159188131428,220785,0,220785,NA,NA,NA,220785
"fem",60,162229,0.92135052568173,182614,0,182614,NA,NA,NA,182614
"fem",65,125783,0.87957512424334,149470,0,149470,NA,NA,NA,149470
"fem",70,101964,0.820210844265451,110636,0,110636,NA,NA,NA,110636
"fem",75,67330,0.732367669517686,83632,0,83632,NA,NA,NA,83632
"fem",80,46870,0.610873112512263,49310,0,49310,NA,NA,NA,49310
"fem",85,24909,0.383332586852988,28632,0,28632,NA,NA,NA,28632
"fem",90,16021,NA,15690,0,15690,NA,NA,NA,15690
"masc",0,377368,0.997054949729628,NA,0,NA,NA,NA,360245,360245
"masc",5,399486,0.997784688092288,376257,0,376257,NA,NA,NA,376257
"masc",10,429335,0.992249751251963,398601,0,398601,NA,NA,NA,398601
"masc",15,413048,0.983276219994779,426008,0,426008,NA,NA,NA,426008
"masc",20,408323,0.979607833221659,406140,0,406140,NA,NA,NA,406140
"masc",25,384161,0.979073639109,399996,0,399996,NA,NA,NA,399996
"masc",30,349403,0.977042402353319,376122,0,376122,NA,NA,NA,376122
"masc",35,305647,0.972806400187077,341382,0,341382,NA,NA,NA,341382
"masc",40,274866,0.96409741981264,297335,0,297335,NA,NA,NA,297335
"masc",45,237047,0.953005202464578,264998,0,264998,NA,NA,NA,264998
"masc",50,193601,0.936916992865552,225907,0,225907,NA,NA,NA,225907
"masc",55,154822,0.912214847274133,181388,0,181388,NA,NA,NA,181388
"masc",60,130311,0.87511847364734,141231,0,141231,NA,NA,NA,141231
"masc",65,96898,0.819781306443421,114038,0,114038,NA,NA,NA,114038
"masc",70,74657,0.748176260616256,79435,0,79435,NA,NA,NA,79435
"masc",75,46682,0.656682368812139,55857,0,55857,NA,NA,NA,55857
"masc",80,31658,0.534130006346661,30655,0,30655,NA,NA,NA,30655
"masc",85,16571,0.328084292797714,16909,0,16909,NA,NA,NA,16909
"masc",90,8836,NA,8336,0,8336,NA,NA,NA,8336
