sexo,idade,nLx
fem,0,490759
fem,5,489416
fem,10,488428
fem,15,487010
fem,20,484877
fem,25,482296
fem,30,479046
fem,35,474617
fem,40,468701
fem,45,460275
fem,50,448287
fem,55,431460
fem,60,407345
fem,65,374777
fem,70,329940
fem,75,269305
fem,80,196003
fem,85,122657
fem,90,88023
masc,0,487917
masc,5,486058
masc,10,484707
masc,15,480823
masc,20,472599
masc,25,462655
masc,30,452715
masc,35,442796
masc,40,432135
masc,45,418634
masc,50,400257
masc,55,376721
masc,60,346442
masc,65,307446
masc,70,255978
masc,75,193581
masc,80,128453
masc,85,70845
masc,90,45530
